textid,sentence,label
76483,I had it out the other day just to check on it and everything is A-OK.,misc.forsale
76483,"I'd listen to ANY cash offers, but am more interested in trading for some extra storage for my computer.",misc.forsale
76483,"If you have any of the following and are interested in a trade, drop me a line: IDE hard drive 50+ megs (MUST be 3.5"" wide, 1"" tall) SCSI hard drive 50+ megs (MUST be 3.5"" wide, 1"" tall) SCSI tape backup (any make/size) SCSI CD-ROM 9600 baud modem (external)",misc.forsale
76483,Please leave any offers/questions in Email to lgibb@nyx.cs.du.edu,misc.forsale
74794,"If anyone's still interested, I have ONE Mattel electronic game left for sale or trade.",misc.forsale
74794,It's Baseball (Tan Case) and includes a 9-volt battery and the original manual!,misc.forsale
74794,I was able to sell Soccer and Basketball 2 for $70.00 and traded the Football game for a Genesis cart...,misc.forsale
74794,"so, I was happy.",misc.forsale
74794,I will entertain all offers.. cash or Genesis carts...,misc.forsale
74794,"By the way, Baseball is in Excellent condition and works perfectly..",misc.forsale
74794,"Thanx in advance, Dave",misc.forsale
76589,"Acorn Software, Inc. has 3 tape drives (currently used on a VMS system) for sale.",misc.forsale
76589,These are all SCSI tape drives and are in working condition.,misc.forsale
76589,WangDat 1300 4mm $500.00 WangDat 2600 4mm (compression) $650.00 (SALE PENDING) Exabyte 8200 8mm $650.00 (SALE PENDING) Plus shipping and COD.,misc.forsale
76589,"Certified checks only, please.",misc.forsale
76589,These units are sold as is and without warrantee.,misc.forsale
76589,Contact me if you're interested.,misc.forsale
76589,-- Dick Munroe Internet: munroe@dmc.com,misc.forsale
76589,"Doyle Munroe Consultants, Inc.",misc.forsale
76589,UUCP: ...,misc.forsale
76589,"uunet!thehulk!munroe 267 Cox St. Office: (508) 568-1618 Hudson, Ma.",misc.forsale
76589,FAX: (508) 562-1133 GET CONNECTED!!!,misc.forsale
76589,Send mail to info@dmc.com to find out about DMConnection.,misc.forsale
76287,Followup-To: poster I have the following 45 rpm singles for sale.,misc.forsale
76287,Most are collectable 7-inch records with picture sleeves.,misc.forsale
76287,"Price does not include postage which is $1.21 for the first record, $1.69 for two, etc.",misc.forsale
76287,"Beach Boys|Barbara Ann (Capitol Picture Sleeve)|$10|45 Beach Boys|Califonia Girls (Capitol Picture Sleeve)|$15|45 Beach Boys|Fun, Fun, Fun (Capitol Picture Sleeve)|$10|45 Beach Boys|Little Girl",misc.forsale
76287,I,misc.forsale
76287,Once Knew (Capitol Picture Sleeve)|$10|45 Beach Boys|Please Let Me Wonder (Capitol Picture Sleeve)|$10|45 Beach Boys|Rock n Roll to the Rescue,misc.forsale
76287,(Capitol Promo/Picture Sleeve)|$15|45 Beach Boys|When I Grow Up to Be a Man (Capitol Picture Sleeve)|$10|45 Beatles|Im Happy Just to Dance with You (Capitol Picture Sleeve)|$10|45 Doctor & the Medics|Burn (I.R.S. Promo/Picture Sleeve)|$5|45 General Public|Too Much or Nothing,misc.forsale
76287,(I.R.S. Promo/Picture Sleeve)|$5|45 Go Gos|Our,misc.forsale
76287,"Lips are Sealed (I.R.S. Picture Sleeve)|$5|45 Lennon, John|Instant Karma!",misc.forsale
76287,"(We All Shine On) (Apple Picture Sleeve)|$15|$45 Lennon, John|Mind Games (Apple Picture Sleeve)|$10|$45 Madonna|Open",misc.forsale
76287,"Your Heart (Sire Promo)|$5|45 McCartney, Paul|Coming Up (Columbia.",misc.forsale
76287,"Picture Sleeve)|$10|45 McCartney, Paul|Mull of Kintyre (Capitol.",misc.forsale
76287,"Picture Sleeve)|$10|45 McCartney, Paul|Stranglehold (Capitol Promo/Picture Sleeve)|$5|45 McCartney, Paul|Wonderful Christmastime (Columbia.",misc.forsale
76287,"Picture Sleeve)|$10|45 Mercury, Freddie|I Was Born to Love You (Columbia Promo/Picture Sleeve)|$5|45",misc.forsale
76287,Pink Floyd|Learning to Fly (Columbia Promo/Picture Sleeve)|$5|45 Queen|Kind of Magic (Capitol Promo/Picture Sleeve)|$5|45 Ramones|Sheena is a Punk Rocker (Sire Promo/Picture Sleeve)|$5|45 Rolling Stones|19th Nervous Brakdown (London Picture Sleeve)|$10|45 Rolling Stones|Jumpin,misc.forsale
76287,Jack Flash (London Picture Sleeve)|$10|45 Rolling Stones|Mothers Little Helper (London Picture Sleeve)|$10|45 Rolling Stones|Paint,misc.forsale
76287,"It, Black (London Picture Sleeve)|$10|45 Starr, Ringo|Photograph (Apple Picture Sleeve)|$15|$45 Starr, Ringo|Youre Sixteen (Apple Picture Sleeve)|$15|$45 Talking Heads|Road to Nowhere (Sire Promo/Picture Sleeve)|$5|45 Waters, Roger|Sunset Strip (Columbia Promo/Picture Sleeve)|$10|45 Waters, Roger|Sunset Strip (Columiba Promo)|$5 Waters, Roger|Who Needs Information (Columiba Promo)|%10|45",misc.forsale
76287,"If you are interested, please contact:",misc.forsale
76287,Michael McHugh mmchugh@andy.bgsu.edu,misc.forsale
74801,I have the following GameBoy Games available for TRADE!,misc.forsale
74801,Pitfighter Metroid II Bases Loaded Blades Of Steel Malibu Beach Volleyball World Cup Soccer Tennis..,misc.forsale
74801,Spiderman Robocop Motocross Maniacs Double Dribble 5 on 5 Basketball Looking for: Genesis Games Missile Command (Gameboy) Game Gear games Please leave e-mail if interested!,misc.forsale
74801,Thanx Dave Webb P.S.,misc.forsale
74801,I'm still waiting to hear from Allen Thoren Jr. about trading MB Volleyball for Missile Command...,misc.forsale
74801,Please get in touch.,misc.forsale
74801,Also waiting to hear from Raul (rombh@cunyvm.cuny.edu) about Genesis trade...,misc.forsale
76460,"Forsale: Nintendo control Deck with two controllers and gun, one controller has grips attached.",misc.forsale
76460,the NES will only connect to a composite monitor or TV with audio and video RCA Input jacks and needs some repairs.,misc.forsale
76460,"25$ or best offer games for sale 15$ Tecmo Baseball 15$ Techmo Bowl 15$ Double Dribble 15$ Wayne Gretzky Hockey 15$ Golf 10$ Super Mario/Duck Hunt 10$ Toobin' 10$ Spelunker 25$ Tecmo Super Bowl ============ 130$ total, I'll give all of them to you for 100$ or best offer and throw in the control deck...",misc.forsale
76460,"I'll also accept the best offer for each of the games the oldest of these is two years old, most of them are less than a year old.",misc.forsale
76460,-- -Tom,misc.forsale
76460,"<<<>>>Warning, signature under construction, ENTER at your own RISC<<<>>>",misc.forsale
76937,"TRAILER FOR SALE 1990 Hooper Auto Transport Trailer 16' x 6.5' Flatbed 4 Ton Gross Weight Capacity Tandem Axle Suspension 7 x 14.5 MH Nylon Tires Comes With a Spare Tire Electric Brakes Stop Lights & Turn Signals Loading Ramps - Tilt for Towing - Removable Front Steel Fence - Removable Stake Sides - for attaching sideboards, tiedowns, etc Rigged for Hauling Automobile, Tractor, Equipment, etc.",misc.forsale
76937,"Less than 4000 miles since new Serialized, with Title and Registration Papers For sale by Original Owner @ $795 Big hook-end chain and 4"" web ratchet tiedown negotiable -- (*)(*)(*)(*)(*)(*)(*)(*)(*)(*)(*)(*)(*)(*)(*)(*)(*)(*)(*)(*)(*)(*)(*)(*)(*)(*) (*) (*) (*) Greg Hering (*) (*) Senior Software Analyst Phone : (205) 730-8160 (*) (*) Aeronautical Systems, MSD FAX : (205) 730-8178 (*) (*) Intergraph Corporation Internet: glhering@ingr.com (*) (*) Huntsville, AL Mailstop: LR23A5 (*) (*) (*) (*)(*)(*)(*)(*)(*)(*)(*)(*)(*)(*)(*)(*)(*)(*)(*)(*)(*)(*)(*)(*)(*)(*)(*)(*)(*)",misc.forsale
76138,News-Software: VAX/VMS VNEWS 1.4-b1 I am posting this for a friend.,misc.forsale
76138,Please do not respond to me.,misc.forsale
76138,Thanks.,misc.forsale
76138,House for Sale!!!!!,misc.forsale
76138,"16 Brockton Road, Mercerville, New Jersey Description: Beautiful 3 bedroom, 1 1/2 bath cape cod located on a large tastefully landscaped corner with fenced in lot.",misc.forsale
76138,"This home features an eat-in kitchen with built-in corner china closet, a large living room, wall-to-wall carpeting, hardwood floors, new ceramic tile foyer, and freshly painted neutral tone decor.",misc.forsale
76138,"This home includes new central air and heating, new roof, new water heater, aluminum siding, storm windows and doors and Rockwell insulation in all exterior walls.",misc.forsale
76138,Also features a new partially finished basement with an outside entrance and new Duro shed.,misc.forsale
76138,Lots of storage space.,misc.forsale
76138,Convenient to Rt. 295.,misc.forsale
76138,"Extras: Dishwasher, Washer and Dryer, Ceiling Fans, and Window Treatments Call for appointment at (609) 586-1946.",misc.forsale
76138,"*****Open House on Sunday, April 18th, 1:00 - 4:00.",misc.forsale
76138,Call for Directions*****,misc.forsale
75971,I have sold the receiver.,misc.forsale
75971,The Equilizer is still for sale -Technics SA-450 integrated Quartz synthesizer Digital Receiver -SOLD!!!!!,misc.forsale
75971,-Audio,misc.forsale
75971,"Control C-101 graphic equilizer -This is an awesome Eq., but I am broke.",misc.forsale
75971,"-10 bands/channel, octave EQ -subsonic filter -rumble reducer -tape monitor",misc.forsale
75971,"-amazing real time spectrum analyzer with calibrtated microphone and pink noise generator, calibrated and uncalibrated range adjustment, display is calibrated in dB and can display the average energy per band, or the average for the full speactrum(great for checking how loud your system is) -The display action has two speed settings to adjust how quickly the display responds to transients This is one of the best equilizers around.",misc.forsale
75971,"It is very quiet, and the display Is fascinating to watch.",misc.forsale
75971,"It sells for $400-$450 in stores, so I will sell it for -$315 obo send all responses to halle@rpi.edu , or call (518)276-7382 eve.",misc.forsale
76285,Northwest Air tix - SAVE $30 ANY FLIGHT,misc.forsale
76285,"I have a $400 credit with Northwest Airlines which must be used by Nov 27, 1993.",misc.forsale
76285,"There is a $50 charge to change the ticket, so I will sell it for $320.",misc.forsale
76285,"It can be used for any Northwest flight, but I don't think they will refund cash.",misc.forsale
76285,Please contact me at tallen@corp.hp.com or (415)857-5878.,misc.forsale
76285,Tom Allen,misc.forsale
76173,My friends and I have a buch of books for sale.,misc.forsale
76173,"They are not being used due to change of job, loss of interest etc.",misc.forsale
76173,"Rather than letting them gather dust, we would like to pass them on to others who may use them (of course at a price :-)",misc.forsale
76173,Topics Include: - C/C++/Other Programming Languages - UNIX/DOS/OS2/Windows/Other Operating System topics (General) - X/Motif/OLIT/Xwin - Networking and Digital Signal Processing - Computer Graphics - Microprocessors and Computer Architecture - Math - Software Engineering/Algorithms/Software Testing - Databases - Expert Systems,misc.forsale
76173,The list is long and rather than posting it here I will email it by request.,misc.forsale
76173,I am going to keep the list updated and so will respond to all requests (lucky me :-),misc.forsale
76173,If you are interested drop me a line ====== S. Alavi,misc.forsale
76173,[ssa@unity.ncsu.edu] (919)467-7909 (H),misc.forsale
76173,========,misc.forsale
76025,Followup-To: misc.forsale I just won an IBM Wheelwriter 6 typewriter in a raffle here on campus.,misc.forsale
76025,"Since I have a nice computer, and really need the cash, I'm putting it up for sale.",misc.forsale
76025,I have an offer from a local reseller for $250.,misc.forsale
76025,Best offer above that plus shipping.,misc.forsale
76025,...,misc.forsale
76025,brian Northwestern University - Economics & International Studies b-olson@nwu.edu Brian David Olson bdolson@casbah.acns.nwu.edu bdolson@cica.es bdolson@merle.acns.nwu.edu bdolson@sevaxu.cica.es,misc.forsale
76782,"Novell 386dx16 motherboard with cpu, 4 megs of memory and I/O ports for $160 + shipping / firm.",misc.forsale
76782,let me know if you are interested.,misc.forsale
76782,ailin 803-654-8817,misc.forsale
76019,"Hello Everyone, I have a Casio TV-470 LCD Color Television for sale.",misc.forsale
76019,It is in mint condition.,misc.forsale
76019,"Retail is $199 but I'm looking to get about 1/2 of that for it, tops.",misc.forsale
76019,"Highest bidder in a week gets it, assuming the highest bidder is at least $60.",misc.forsale
76019,TV comes with black case and uses 4 AA batteries.,misc.forsale
76019,They also sell AC adaptor.,misc.forsale
76019,"It has external jack for phones and external antenna, etc.",misc.forsale
76019,"The picture is very good and it has electronic tuning so you don't have to screw with tuning a picture in, etc.",misc.forsale
76019,I have the box and all documentation.,misc.forsale
76019,This has seen less than 3 hours use as I have all but sworn off TV.,misc.forsale
76019,Best Regards Jack Waters II,misc.forsale
75974,"Heavy-duty, commercial, TINY,(6x3x1/2 inch) WATERPROOF, VHF 2 watt, 2 channel, handheld two-way radio.",misc.forsale
75974,MOTOROLA EXPO purchased NEW for Amateur frequencies 146.10/70 & 146.34/94.,misc.forsale
75974,Absolute M I N T condition!,misc.forsale
75974,"Never scratched, dropped, opened, or otherwise ""comprosmised""!",misc.forsale
75974,Can be re-crystaled for business band.,misc.forsale
75974,has PL slot.,misc.forsale
75974,Original Price: ======================== MOTOROLA EXPO VHF 2WATT/2CHAN.,misc.forsale
75974,"HT--------------------$1200.00 (comes with portable charger, antenna, manual, NEW Ni-Cad pack, back housing belt clip) MOTOROLA extra NEW Ni-Cad pack-----------------------$ 40.00 MOTOROLA extra VHF rubber-duckie antenna-------------$ 12.50 MOTOROLA Desktop quick charger-----------------------$ 135.00 MOTOROLA External speaker-mic.-----------------------$ 125.00 MOTOROLA +12V cig.",misc.forsale
75974,lighter Battery Eliminator--------$ 80.00 MOTOROLA Heavy-Duty Nylon holster--------------------$ 25.00 MOTOROLA EXPO Technical Manuals----------------------$ 5.00 MOTOROLA EXPO tuning/case opening tools--------------$ N/C ---------------------,misc.forsale
75974,"$1622.50 Would like $400, or BEST OFFER!!!",misc.forsale
75974,Thanks a lot!,misc.forsale
75974,Jeff _____________________________________________________________________________,misc.forsale
75974,||~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~|~~~~~~~~~~~~~~~~~~~~~~~~~~||,misc.forsale
75974,"||Jeff B. Later WB7TZA ""jeffl@pmafire.inel.gov"" | ""I have become || ||*""Disclaimer, Disclaimer, Where's My Lawyer!""",misc.forsale
75974,"* | comfortably numb""",misc.forsale
75974,|| ||,misc.forsale
75974,| Pink Floyd ||,misc.forsale
75974,| ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ | ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,misc.forsale
74804,"Followup-To: misc.forsale Forsale: Proton P1100 preamplifier ========================= About 3.5 years old, originally $299, asking $150 or best offer.",misc.forsale
74804,"Has inputs for tape 1, tape 2, CD, phono, video and tuner.",misc.forsale
74804,Separate listen and record selectors.,misc.forsale
74804,"Bass EQ, subharmonic filter and mono switch.",misc.forsale
74804,High quality volume potentiometer.,misc.forsale
74804,"In excellent condition, with original boxes and manual.",misc.forsale
74804,Sony D-88 portable Diskman ========================== This is the one designed to play the mini CD's.,misc.forsale
74804,"You can play normal size CDs, but the disk sticks out the side.",misc.forsale
74804,"Works well, but may skip occasionally - it should be tuned up (heads aligned, cleaned, etc.)",misc.forsale
74804,In excellent condition.,misc.forsale
74804,It has not been used all that much.,misc.forsale
74804,With carrying case.,misc.forsale
74804,"Original list was (I think) $300, but I'll take $80 or best offer.",misc.forsale
74804,It would be good for an office or just to sit on your desk.,misc.forsale
74804,Please email me <eric@enterprise.bih.harvard.edu> or telephone at (617) 278-0068.,misc.forsale
74804,Eric *---------------------------------------------------------------------* | Eric J. Hansen .................... eric@enterprise.bih.harvard.edu | | Center for Clinical Computing ..........,misc.forsale
74804,"Boston, MA (617) 732-5925 | | ....",misc.forsale
74804,"DOS/Mac programming, Ultrix administration, general chaos ....",misc.forsale
74804,| *---------------------------------------------------------------------*,misc.forsale
76940,I just received a music software WinSong for Windows and found that it needs a MIDI/sound card (Sound Blaster Pro is preferred) to have its fantastic features show up.,misc.forsale
76940,"As I don't have the plan to add a sound card now, I am putting it here for sale.",misc.forsale
76940,It's listed $79.95 on April issue of WINDOWS magazine and I paid $84.95 as the total.,misc.forsale
76940,I am asking around $70 with shipping included.,misc.forsale
76940,"WinSong for Windows: Composer, sequencer (tape deck), and Juke Box all in one.",misc.forsale
76940,"It's a word processor for music - you can write and edit (cut, paste, move and copy, etc) notes and symbols, play and print your composition.",misc.forsale
76940,It's graphical user interface works like a multi-track tape recorder.,misc.forsale
76940,"Up to 64 musical tracks can be arranged for play, record, rewind, fast-forward and stop.",misc.forsale
76940,"It plays music on any MIDI compatible instrument - piano, guitar, drum set, saxophone, clarinet, organ, and many.",misc.forsale
76940,You do not need to be a musician to use this software.,misc.forsale
76940,The on-line manual is handy.,misc.forsale
76940,"For musicians, it's great as writing music is not a tedious and stifling aspect.",misc.forsale
76940,"Almost NEW (one week OLD), unregistered $70 (including shipping) OBO (please be reasonable)",misc.forsale
75936,Not true.,misc.forsale
75936,Dial 811 and listen to the recording.,misc.forsale
75936,"If you get it, then your phone was recognized by the network.",misc.forsale
75936,You wouldn't be able to dial a real number yet (of course!),misc.forsale
75936,"=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-= Mark Bramwell, VE3PZR Located in sunny London, Ontario Internet: Mark@ARDSLEY.business.uwo.ca IP Address: 129.100.29.33 Packet: VE3PZR @ VE3GYQ",misc.forsale
75936,UWO Phone: (519) 661-3714,misc.forsale
76353,"I am looking for shanghai, solitaire game with mahjongg tiles for PC's.",misc.forsale
76353,"if you have a copy laying around, send email to: richg@sequent.com",misc.forsale
76353,"thanks, -- OOo O Rich Garrett O oO richg@sequent.com",misc.forsale
76353,o WORK (503) 578-3822 _____ o o,misc.forsale
76133,"X-Xxdate: Sat, 17 Apr 93 02:54:45 GMT X-Useragent: Nuntius v1.1.1d7 ""Computer Friends"" nubus card - good for doing graphics overlays on your videos etc. $275 with apple 8 bit vid card, $225 without.",misc.forsale
76133,Wont sell vid card separately.,misc.forsale
76133,UPS (U pay shipping).,misc.forsale
76133,cheers Mike.,misc.forsale
75987,Here's the updated list of the stuff I still have for sale.,misc.forsale
75987,"Also, feel free to make an offer.",misc.forsale
75987,I'm asking $15 per board.,misc.forsale
75987,Currently known Electronic mother boards from old arcade games: Game Name Condition Manufacturer ------------------------------------------------------------ -1- TenYard Fight ?,misc.forsale
75987,Iren TenYard Fight Bad(internal short),misc.forsale
75987,Iren Kangaroo ?,misc.forsale
75987,Sun Electronics? -2-,misc.forsale
75987,"Mr.Do Okay,but has interference ?",misc.forsale
75987,Guardian Tip Top ?,misc.forsale
75987,Sega Bank Panic ?,misc.forsale
75987,Sega Sanritsu ?,misc.forsale
75987,Sega *Radar Scope,misc.forsale
75987,Okay Nintendo? -3-,misc.forsale
75987,Poseidon ?,misc.forsale
75987,Taito Ninjakun Bad(needs capacitor&crystal) ?,misc.forsale
75987,Jass Rack ?,misc.forsale
75987,Jamma Double Dribble ?,misc.forsale
75987,-6- Zoar Okay ?,misc.forsale
75987,Super Trivia Bad (got fried),misc.forsale
75987,Greyhound Electronics -9- Slither Has error message Century II Corp.,misc.forsale
75987,-10- Music Trivia ?,misc.forsale
75987,JALECO Samurai Fore Groud char.,misc.forsale
75987,disapear Taito Poseidon Okay,misc.forsale
75987,Taito -11- Ant Eater ?,misc.forsale
75987,Tago Electronics Up n Down buzzing sound ?,misc.forsale
75987,Tutankham Bad Konami Pro Wrestling Okay Video Trivia ?,misc.forsale
75987,GrayHound Asteron Belt ?,misc.forsale
75987,"Sega Unknown boards Sega (1) Konami (1) Pacific Novelty Manufacturing Inc (9) (if anyone has the rom numbers for these boards, please tell me) 1 absolutely unknown board --Misc Stuff-- Somekind of powersupply(similar to atary audio reg.) ?",misc.forsale
75987,Ram Card ?,misc.forsale
75987,Midway Midway Patter Board Z-80 Sync Buss Controller-285 (2) Pacman Filters (16) ?,misc.forsale
75987,Midway 50pin scsi cable(2) (both ends are female) -----------------------------------------------------------------------------,misc.forsale
75987,| Alex Fagundes - Proud owner of a 76 Maverick :) and another | | microfsh@iastate.edu - believer that AMIGA rules | -----------------------------------------------------------------------------,misc.forsale
76197,"X-Xxdate: Thu, 22 Apr 93 15:19:34",misc.forsale
76197,GMT X-Useragent: Nuntius v1.1.1d7,misc.forsale
76197,A bunch of things i have too many of : chips : type new/pull price desc AD1856 N $3.50 16 bit serial D/A converter smt like PCM56 TMS32020GBL P $12.00 TI DSP chip MC68020RC25 P $12.00 Make your own Mac ????,misc.forsale
76197,Z08613/08STD N $12.00 Piggyback emulator for Z8 family D77P20 P $12.00 NEC's EPROM version DSP chip MK38P73 P $25.00 you gotta really want 'em !,misc.forsale
76197,"LM213 N $30.00 Hitachi 256*64 bitmapped display lots of others including 22V10, C22V10, 16L8,16R8 other stuff includes : Cipher tape drives $10.00 Data I/O device programmer $60.00 dont go !",misc.forsale
76197,Apple Laserwriter $550.00 a beauty-only 8k page Mac 800k int drives $40.00 cheers Mike,misc.forsale
76083,"I have a brand new 1.2 external floppy drive for PS/2, still in the box.",misc.forsale
76083,"I will sell it for $90 + shipping/firm, which is half of the market price (check page 474 of Computer Shopper, Apr-93 issue, the price is $179 there).",misc.forsale
76083,Please let me know if you are interested.,misc.forsale
76083,Ailin 803-654-8817,misc.forsale
76851,Sorry for the frequency of the posting (I'm in a time crunch).,misc.forsale
76851,I'm selling my toys so I can afford a house :_( -Amiga 4000/040 -25 MHz 68040 (built in FPU/MMU),misc.forsale
76851,-18,misc.forsale
76851,"megs of RAM, 2 megs of video RAM, expandable to 2 gigabytes -A2091 SCSI controller -Fujitsu 520M 3.5"" SCSI drive, 12ms, 3 years warranty -1 year of on-site service remaining -$3000 OBO -Epson ES300C full page 600DPI, 24 bit color scanner w/sware and ADPro loader -software (standalone and ADPro loader) -docs",misc.forsale
76851,-cable -$850,misc.forsale
76851,"-Supra FAXmodem V.32 bis, 14.4K, latest ROMs -$205 -SCSI CD-ROM drive, 400ms, internal -$225 -Mitsubishi",misc.forsale
76851,"DiamondScan AUM1371 14"" multisync 15-38 KHz, 30-90Hz -analog RGB, TTL, video inputs -$275 -All of the above, $3900 OBO ($2000 less than original)",misc.forsale
76851,"-Amiga 2500/040 Toaster system -Amiga 2500 -Zeus 28MHz 68040 (FPU and MMU built in), 1 year warranty -16 megs of RAM -1 meg of video memory -Quantum PRODRIVE 100, 100M SCSI drive -2",misc.forsale
76851,"Personal TBC II, time base correctors (S-video and composite), docs, sware -Video Toaster 2.0 with lots of fonts and objects and ToasterVision -ToasterVision, AREXX sequencing, Toaster croutons, framestore compress, ...",misc.forsale
76851,"-instructional video -SCSI CD-ROM drive -Sony SLVR5UC SVHS VCR, new, warranty, -2 A1080 color RGB/composite/YC monitors -Pioneer video disc player, CLD980, RF in/out, composite out -rock solid sync generator, multi-format video disc players, CD -$6900 OBO I will parcel this stuff out if necessary (please send offers :_( -Meade 826C 8"" Newtonian reflector telescope -8"" aperture, f/6 -very heavy duty mount -clock drive -dual axis corrector with joystick and AC or DC drive -fiberglassed tube for a bit more strength -2 finder scopes -1 8X50mm finder scope -1",misc.forsale
76851,"60mm finder scope with diagonal holder and 9mm eyepiece -2"" barrel for 2"" eyepieces (includes adapter for 1.25"" eyepieces) -1 25mm 1.25"" eyepiece -1 9mm or 7mm 1.25"" eyepiece, take your pick, both for $30 more -manuals -it needs to be collimated, but is otherwise in superb condition -$775 (I'd really prefer to sell locally due to its size) -Maxtor 8760S, 680 meg (formatted), 5.25"" FH, 16ms -$625 -$695 in Sun shoebox -All software listed below is for the Amiga.",misc.forsale
76851,"Comes with boxes, diskettes, manuals and in many cases are unopened, containing registration cards.",misc.forsale
